chamber,candidate_name,district,party,slug,status
Senate,"Brian ""BC"" Collamore",Rutland,Republican,bc-collamore,ok
Senate,James L. McNeil,Rutland,Republican,james-l.-mcneil,ok
Senate,Andrew Perchlik,Washington,Democratic,andrew-perchlik,ok
Senate,Ann Cummings,Washington,Democratic,ann-cummings,ok
Senate,Anthony Pollina,Washington,Progressive,anthony-pollina,ok
Senate,Becca Balint,Windham,Democratic,becca-balint,ok
Senate,Jeanette White,Windham,Democratic,jeanette-white,ok
Senate,"Richard ""Dick"" McCormack",Windsor,Democratic,dick-mccormack,ok
Senate,Alison H. Clarkson,Windsor,Democratic,alison-h.-clarkson,ok
Senate,Alice W. Nitka,Windsor,Democratic,alice-w.-nitka,ok
